test_name,elapsed_s,resident_k,user,system,status
test_nullable_filter_filter_select_select,3.19,304620,4.50,1.12,0
test_nullable_filter_group_mutate,3.81,335096,5.89,1.13,0
test_nullable_filter_group_mutate_reduce,3.58,353048,5.55,1.23,0
test_nullable_filter_group_select,3.79,349044,5.64,1.30,0
test_nullable_filter_reduce,3.52,336992,5.18,1.21,0
test_nullable_filter_select,3.14,301528,4.27,1.14,0
test_nullable_group_reduce_group_reduce_join,4.78,439748,9.33,1.55,0
test_nullable_group_reduce_join_mutate,4.69,475232,9.18,1.47,0
test_nullable_inner_join_select,4.23,400196,7.19,1.39,0
test_nullable_join_group_reduce,4.85,472672,9.32,1.44,0
test_nullable_left_join,3.99,404544,6.88,1.46,0
test_nullable_outer_join,3.33,354632,4.81,1.19,0
test_nullable_windowing_explicit,3.59,352504,5.39,1.37,0
test_nullable_windowing_explicit_group,3.48,338500,5.35,1.30,0
test_nullable_windowing_explicit_window_far,3.76,340424,5.88,1.24,0
test_nullable_windowing_implicit_group,0.58,107992,0.65,0.58,0
test_nullable_windowing_implicit_mean,4.78,453644,9.08,1.44,0
test_nullable_windowing_implicit_sum,4.73,468080,9.04,1.54,0
test_non_nullable_filter_filter_select_select,3.11,310404,4.15,1.12,0
test_non_nullable_filter_group_mutate,3.63,346744,5.47,1.25,0
test_non_nullable_filter_group_mutate_reduce,3.50,334212,5.40,1.07,0
test_non_nullable_filter_group_select,3.55,375260,5.38,1.23,0
test_non_nullable_filter_reduce,3.31,326800,5.12,1.18,0
test_non_nullable_filter_select,3.07,293596,4.14,1.14,0
test_non_nullable_group_reduce_group_reduce_join,5.15,462524,10.36,1.46,0
test_non_nullable_group_reduce_join_mutate,4.81,451752,9.20,1.50,0
test_non_nullable_inner_join_select,4.06,393032,6.88,1.37,0
test_non_nullable_join_group_reduce,4.71,477460,9.25,1.44,0
test_non_nullable_left_join,4.13,403572,7.43,1.37,0
test_non_nullable_outer_join,3.51,360980,5.04,1.25,0
test_nexmark_query_1,3.55,309188,4.58,1.24,0
test_nexmark_query_2,3.47,302304,4.71,0.93,0
test_nexmark_query_3,4.34,389056,7.58,1.33,0
test_nexmark_query_4,6.30,638268,11.18,1.87,0
test_nexmark_query_6,5.36,536988,9.99,1.65,0
